名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
碧桂园山顶7房别墅,"https://www.airbnb.cn/rooms/27802638?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4.5个卫生间,11张床,单间公寓,最多住7人,1880,0,,,,,,,
一楼带花园公寓,"https://www.airbnb.cn/rooms/27879562?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住3人,389,0,,,,,,,
【墅客】佛冈碧桂园清泉城欧式6房11床别墅+烧烤+温泉池+独立K房+WIFI+桌球+乒乓球+麻将机,"https://www.airbnb.cn/rooms/27938376?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1480,0,"此栋别墅为独栋,山顶别墅,带温泉池､桌球､乒乓球､WIFI､烧烤､独立K房､自动麻将机｡",,,,,,
英德九龙/洞天仙境/胜峰客栈/清新双人房,"https://www.airbnb.cn/rooms/27940232?s=lL8DwLxp&guests=1&adults=1
",农家乐里的独立房间,1个独立卫生间,2张床,1间卧室,最多住2人,138,2,,,,,,,
英德九龙/洞天仙境/胜峰客栈/标准双人房,"https://www.airbnb.cn/rooms/27940803?s=lL8DwLxp&guests=1&adults=1
",青年旅舍里的独立房间,1个独立卫生间,2张床,1间卧室,最多住2人,138,1,,,,,,,
英德九龙/洞天仙境/胜峰客栈/清新大床房,"https://www.airbnb.cn/rooms/27946965?s=lL8DwLxp&guests=1&adults=1
",台湾民宿里的独立房间,1间卫生间,1张床,1间卧室,最多住2人,98,0,,,,,,,
【墅客】佛冈碧桂园清泉城欧式6房11床别墅+泳池+麻将机+桌球+温泉池+独立K房+乒乓球+电烧烤盘,"https://www.airbnb.cn/rooms/27966896?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,最多住12人,1680,0,中空大厅､带泳池､温泉池､麻将机､独立K房､电烧烤炉､桌球､乒乓球､,,,,,,
碧桂园清泉城绮云楼山顶温泉别墅,"https://www.airbnb.cn/rooms/28053092?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,6.5个卫生间,14张床,7间卧室,16位及更多房客,1888,0,"导航佛冈碧桂园清泉城｡京港澳高速佛冈出口下来,第一个红绿灯右转,然后直行约5公里,右手边可见碧桂园清泉城的标志,右转便是｡由京珠高速至广州仅1小时左右车程,通往深圳,东莞,佛山等地仅需1.5-2.5小时｡别墅距离英德站约36公里,距离清远站约50公里,距离佛冈客运站约5.8公里｡","佛冈碧桂园清泉城,山清水秀,环境优美,空气清新,背靠3万亩羊角山森林国家公园,楼盘内部餐饮,娱乐一应俱全,湖边垂钓,绿道单车,儿童乐园,体育公园,温泉会所,风情商业街,美食农庄样样俱全｡周边聚集了森波拉森林度假公园,观音山省级风景区,龙啸峡漂流等旅游度假项目｡",,,,,
【墅客】碧桂园清泉城欧式中空大厅6房11床+泳池+温泉池+自动麻将机+独立K房+桌球+乒乓球+烧烤盘,"https://www.airbnb.cn/rooms/28062679?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1680,0,中空大厅､带泳池､温泉池､麻将机､独立K房､电烧烤炉､桌球､乒乓球､,,,,,,
古龙峡附近温馨旅游度假公寓,"https://www.airbnb.cn/rooms/28112414?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,3张床,2间卧室,最多住6人,288,0,"实惠的价格,星级的享受｡房屋面积85平米,比其他同类房屋面积大20%,环境舒适,绝对卫生干净,一切日常用品齐全,给您一个温馨的家!!","小区风景优美,空气清新,四面环山,有世外桃源的美称,远离大都市的繁华,给人以宁静,坐在阳台上看日出,尽享大自然赋予我们的一切美好","可以自驾游到清连高速龙颈出口下,300米左右到恒大金碧天下大门口,进小区3分钟左右车程到公寓｡也可以从广州越秀公园(地铁2号线A出口)坐小区专用大巴车,1.5小时左右到本小区,每天来回都有几趟车,小区每天也有直达清远市的来回专车,交通十分方便!",,,,
玉石别墅  古典优雅  送游泳券,"https://www.airbnb.cn/rooms/28141781?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,8张床,4间卧室,最多住14人,999,0,"东南亚装修,加上特色玉石挂画,古朴,大气｡55寸大电视
给您不一样的视野｡位于2楼的客人房4张1.8大床｡位于2楼娱乐房带有2张1.8大床,带有家庭式KTV｡主人房三楼带有2张1.8米大床并有一个20方大阳台视野开阔｡别墅内带有3个卫生间｡带有兵乓球､温泉池､电烧烤炉等,厨房基本的厨具都会有的哦,带上家人来煮上一顿饭也是不错的!","佛冈碧桂园清泉城温泉度假傍山别墅位于广东省清远市佛冈碧桂园清泉城内,周边旅游度假资源丰富,聚集了森波拉奇妙世界､观音山风景区､龙啸峡漂流等旅游度假项目,是广州等珠三角客户的旅游度假天堂的最佳首选!",广东省清远市佛冈县水头镇碧桂园清泉城云泉谷等十分方便,,,,
【墅客】佛冈碧桂园清泉城别墅8房16床+私家温泉池+麻将机+厨房+桌球+乒乓球+独立K房+电烧烤盘,"https://www.airbnb.cn/rooms/28207108?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,5个卫生间,16张床,8间卧室,16位及更多房客,2180,0,中空大厅､温泉池､麻将机､独立K房､电烧烤炉､桌球､乒乓球､,别墅小区比较青雅幽静｡依山而建居高临下｡风景优美｡,"别墅内有私家停车位,但小区收费20元一台车停二十四小时｡",,,,
【墅客】佛冈碧桂园清泉城欧式豪华7房12床别墅+温泉池+厨房+麻将机+独立K房+烧烤盘+桌球+乒乓球,"https://www.airbnb.cn/rooms/28207918?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,12张床,7间卧室,最多住7人,1880,0,中空大厅､温泉池､麻将机､独立K房､电烧烤炉､桌球､乒乓球､,,,,,,
清远恒大清源小墅漂流度假别墅1号七房十床,"https://www.airbnb.cn/rooms/28274137?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,4个卫生间,10张床,7间卧室,16位及更多房客,1280,0,"别墅配有豪华KTV设备､全自动麻将桌､烧烤炉､厨具齐全的厨房､大浴缸､24小时免费停车位等等｡
附近有距离古龙峡漂流(玻璃桥大峡谷)景区约10分钟车程,清泉湾生态旅游区约15分钟车程以及国家AAAA级森林旅游度假区等等旅游景区｡
别墅内所以设施设备均免费使用!
轰趴､聚会､旅游､度假､休闲的好去处!",,"自驾路线:清连高速龙颈出口,右转五百米左右到达小区门口",,,,
清远佛冈碧桂园清泉城钻石豪华8房度假别墅带超大泳池KTV温泉池,"https://www.airbnb.cn/rooms/28376014?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,6个卫生间,10张床,8间卧室,16位及更多房客,4380,0,"1楼两间房,一间1米5大床房,一间1.8米大床房,洗手间2个｡大会议室(可容纳40人左右).超大泳池,大温泉,亭子,烧烤吧台,桌球｡
2楼3间房,一间房中房(一件1.2米双床房,一间1.8米大床房)｡一间1.8米公主床带洗手间1个｡
 专业k房一个｡
3楼3个房,1间套房中房3个床,1洗手間,1间1个床    1米8的,洗手间1个｡",,,,,,
"英德市区仲达街收音机9号别墅五居(还有一套六居别墅在该房源对面,点击头像,下拉到最后可看到)","https://www.airbnb.cn/rooms/28508951?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,5张床,5间卧室,最多住10人,980,0,"该别墅处于英德市市区别墅区内的一幢3层别墅｡
一楼有舒适的独立花园
一楼有客厅+饭厅+厨房+麻将室+一间卧室+公共卫生间(KTV及麻将免费使用)
二楼有二间卧室+茶室+ 晾衣大露台
三楼有一间卧室+晾衣大露台
出门的仲达街上,有早餐,宵夜,清吧,小型菜市超市,便利超市,面包店等等,步行可达｡如想足不出户,本地还有网上超市及外卖平台,20元起送,半小时内可达｡
离高铁站英德西站19分钟车程
离乐广高速入口及出口15分钟车程
离著名景点宝晶宫十五分钟车程
离温泉别墅度假区二十分钟车程
离主要商业圈及大型超市沃尔玛十分钟车程
离三大主要菜市场均十分钟车程左右

住宿免费停车",,,,,,
"英德市仲达街收音机5号别墅六居(还有一套五居别墅在该房源对面,点击头像,下拉到最后可看到)","https://www.airbnb.cn/rooms/28511850?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,9张床,6间卧室,最多住12人,980,3,"该别墅处于英德市市区别墅区内的一幢3层别墅｡
一楼有舒适的独立花园
一楼有客厅+饭厅+厨房+一间卧室+公共卫生间
二楼有三间卧室
三楼有两间卧室+晾衣大露台
出门的仲达街上,有早餐,宵夜,清吧,小型菜市超市,便利超市,面包店等等,步行可达｡如想足不出户,本地还有网上超市及外卖平台,20元起送,半小时内可达｡
离高铁站英德西站19分钟车程
离乐广高速入口及出口15分钟车程
离著名景点宝晶宫十五分钟车程
离温泉别墅度假区二十分钟车程
离主要商业圈及大型超市沃尔玛十分钟车程
离三大主要菜市场均十分钟车程左右
停车免费",,,,,,
欧式豪装~幸福里亲子温泉别墅(有泳池),"https://www.airbnb.cn/rooms/28593698?s=lL8DwLxp&guests=1&adults=1
",联排别墅里的独立房间,3个独立卫生间,6张床,6间卧室,最多住12人,1880,1,,,,,,,
"休闲双人房/单人房,把舒适､干净､整洁带给你","https://www.airbnb.cn/rooms/28714854?s=lL8DwLxp&guests=1&adults=1
",酒店内的房间,1个独立卫生间,2张床,10间卧室,16位及更多房客,112,0,旅游景点的中途休息站,,,,,,
九龙浩浩小筑,"https://www.airbnb.cn/rooms/28853868?s=lL8DwLxp&guests=1&adults=1
",整栋乡村小屋,1间卫生间,4张床,4间卧室,最多住8人,398,1,,,,,,,
英德市奇洞温泉度假村汤山别墅307,"https://www.airbnb.cn/rooms/28882610?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住8人,1288,3,"别墅有四层,
负一楼是车库,麻将室,卫生间;
一楼是客厅,厨房,入户花园(可以烧烤),后花园(情侣温泉池);
二楼客房两间,卫生间一间;
三楼主人房,书房,卫生间｡
公共温泉景区免费进入｡
公共水上乐园景区免费进入｡","在山林之间的温泉景区内,让您远离城市的喧嚣,彻底放松的享受度假时光｡","推荐自驾,导航目的地输入:英德市奇洞温泉｡",,,,
碧桂园度假别墅2房4床别墅,"https://www.airbnb.cn/rooms/28884494?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,4张床,2间卧室,最多住2人,480,0,,,,,,,
英德市奇洞温泉度假村汤山别墅306,"https://www.airbnb.cn/rooms/28924278?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住8人,1288,1,"别墅有四层,
负一楼是车库,麻将室,卫生间;
一楼是客厅,厨房,入户花园(可以烧烤),后花园(情侣温泉池);
二楼客房两间,卫生间一间;
三楼主人房,书房,卫生间｡
公共温泉景区免费进入｡
公共水上乐园景区免费进入｡",,,,,,
星悦民宿,"https://www.airbnb.cn/rooms/28976461?s=lL8DwLxp&guests=1&adults=1
",乡村小屋里的独立房间,8个独立卫生间,14张床,10间卧室,16位及更多房客,2000,0,,,,,,,
旅驿阳光,"https://www.airbnb.cn/rooms/29005454?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住1人,178,5,")金茂花园(英城镇德海路)
坐标:英德市区,主千道金子山大道与和平北
路交界处,属英德市城北区域｡
如何来到蓝色童话公寓?
1.乘高铁到英德:英德西站出站,乘坐滴滴出
行,车程15分钟｡(这样最快来到舒适的
家)
2.乘火车到英德:乘9路公交车到英德市体育馆下｡
3.乘客运大巴到英德市粤运汽车站,转乘市内公交车9号､13号到英德市体育馆下｡
4.自驾车:广乐高速英德出口下,出口右转靠左调头,沿着金子山大道一直走,经过市政建筑群,与和平路交界处左转,走100米到德海路转右直行到达｡",,"周边介绍
步行英7~8分钟即可到达英德""三馆一宫"",即英德体馆､英德博物馆､英德文化馆和英德市青少年宮｡入Y家就可近距离享受到运动､阅读､定期展览等公众设施｡
距离英德市月桂湖公园车程3分钟｡月桂湖公园是市民大型活动广场,适合散步､跑步等｡也有亲水平台｡
距离英德市政府行政中心车程仅5分钟｡亦可到达英德财政局,英德市公安局等行政部门｡因此也常适合来英德市办事的商务客人｡距离英德市英红机动车驾驶考场16分钟车程｡来英德驾照的朋友如需要在市区居住可选择我们｡",,,,
碧桂园2房4床别墅,"https://www.airbnb.cn/rooms/29005460?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,4张床,2间卧室,最多住5人,300,1,,,,,,,
九龙乡村田园浩浩小筑,"https://www.airbnb.cn/rooms/29039407?s=lL8DwLxp&guests=1&adults=1
",整套房子,1间卫生间,1张床,1间卧室,最多住2人,98,0,,"乡村田园,离街上500米左右,离景点九龙小镇3公里左右,洞天仙境四公里左右,峰林走廊八公里左右,交通方便适合自驾游的朋友,这里没有城市的繁华也没有街上的喧闹,却有浓浓的乡村气息｡青山绿水,鸟语花香给您工作之余不一样的体验",,,,,
旺夫民宿旁[奇洞温泉小镇][湖山温泉度假区]四房两厅一厨两卫整套出租,"https://www.airbnb.cn/rooms/29068945?s=lL8DwLxp&guests=1&adults=1
",整套房子,2个卫生间,4张床,4间卧室,最多住8人,423,0,"旺夫民宿卫生干净,坚持一客一换,装修现代清新,入住旺夫民宿有如家之感!","街坊邻居老实憨厚,都是各村搬在一起的农民!",珠三角自驾过来可以走广乐高速英德出口再走迎宾大道——金子山大道——上江湾大桥——县道253线——到望埠镇——望埠镇农业银行右转直行200米就到达旺夫民宿,,,,
"罗马假日度假屋【碧桂园英伦小镇全新两室一厅,享受阳光与宁静,郊游赏秋】","https://www.airbnb.cn/rooms/29083739?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,280,1,"如果您想回归宁静,想放空自己,需要释放下内心的压抑深深地舒一口气,想找个温馨的居室享受二人世界或者家庭乐,就过来吧｡房内基本的家具电器俱全,有厨房可供房客DIY露两手,除了一间双人床和一间单人床卧室外,客厅的沙发也可化身为床供您休憩｡本居室坐落于碧桂园清泉城的高处,可俯瞰清泉城绿地青山优美景色,紧邻会所(内有游泳池､羽毛球场､儿童乐园等运动娱乐设施),步行到公交车站仅需5分钟路程｡清泉城内配套设施有:植物园､烧烤场､散步和骑自行车的小道､碧桂园酒店内有温泉､网球场､篮球场､羽毛球场､儿童游乐设施等等｡附近15分钟旅游资源圈:森波拉温泉度假村､羊角山国家森林公园､龙啸峡漂流､聚龙湾温泉度假村等等｡",,,,,,
(近森波拉奇妙世界)豪华夫妻大床房品质公寓,"https://www.airbnb.cn/rooms/29117803?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住2人,218,0,"一房一厅一卫户外大阳台,苑区有温泉､植物园､体育公园､游乐园､登山跑道等等｡交通便利,京港澳高速佛冈出口5公里｡周边旅游景点有森波拉奇妙世界､田野绿世界､观音山王山寺､羊角山度假区等等｡","这里空气清新,环境宁静舒适,配套有高级的温泉度假乐园及游泳池,植物丰富的植物观赏园,及各大饮食娱乐的农家乐餐厅､超市等｡公寓装修典雅舒适,给您香家一样温暖舒服的度假享受,远离大都市的喧嚣,享受片刻的慢生活.....","有2路､3路公交车穿梭于苑区门口,出租车方便｡",,,,
